"a_id","a_uid","a_magid"
"1399","2639","280"
"1400","2640","97"
"1401","2641","175"
"1402","2642","204"
"1403","2643","312"
"1404","2645","50"
"1405","2649","18"
"1406","2651","284"
"1407","2653","80"
"1408","2653","221"
"1409","2654","317"
"1410","2655","33"
"1411","2656","35"
"1412","2656","74"
"1413","2657","336"
"1414","2658","133"
"1415","2659","375"
"1416","2664","223"
"1417","2666","190"
"1418","2667","222"
"1419","2668","108"
"1420","2670","357"
"1421","2672","369"
"1422","2674","18"
"1423","2676","326"
"1424","2677","133"
"1425","2665","278"
"1426","2678","97"
"1427","2678","81"
"1428","2682","266"
"1429","2682","284"
"1430","2684","122"
"1431","2687","171"
"1432","2689","336"
"1433","2691","223"
"1434","2697","348"
"1435","2699","376"
"1436","2700","323"
"1437","2711","213"
"1438","2712","137"
"1439","2714","137"
"1440","2716","373"
"1441","2325","327"
"1442","2325","327"
"1443","2718","166"
"1444","2719","240"
"1445","2720","378"
"1446","2722","315"
"1447","2725","296"
"1448","2725","82"
"1449","2732","382"
"1450","2735","62"
"1451","2740","31"
"1452","2740","31"
"1453","2741","13"
"1454","2743","293"
"1455","2745","213"
"1456","2750","375"
"1457","2752","240"
"1458","2754","280"
"1459","2756","171"
"1460","2761","137"
"1461","2764","198"
"1462","2766","158"
"1463","2767","355"
"1464","2770","171"
"1465","2775","69"
"1466","2777","171"
"1467","2778","376"
"1468","2783","275"
"1469","2784","148"
"1470","2784","166"
"1471","2785","33"
"1473","2788","97"
"1474","2789","114"
"1475","2796","171"
"1476","2797","287"
"1477","2798","72"
"1478","2801","268"
"1479","2802","375"
"1480","2802","339"
"1481","2803","331"
"1482","2804","268"
"1483","2805","17"
"1484","2806","76"
"1485","2807","233"
"1486","2811","218"
"1487","2793","127"
"1488","2793","156"
"1489","2793","370"
"1490","2813","239"
"1491","2814","333"
"1492","2815","276"
"1493","2819","276"
"1494","2821","218"
"1495","2829","204"
"1496","2831","353"
"1497","2835","184"
"1498","2838","40"
"1499","2840","326"
"1500","2846","272"
"1501","2848","74"
"1502","2853","375"
"1503","2854","370"
"1504","2855","169"
"1505","2858","5"
"1506","2858","5"
"1507","2858","280"
"1508","2871","191"
"1509","2877","75"
"1510","2880","336"
"1511","2881","293"
"1512","2885","244"
"1513","2882","336"
"1514","2884","348"
"1515","2887","33"
"1516","2890","357"
"1517","2893","119"
"1518","2898","280"
"1519","2901","275"
"1520","2895","153"
"1521","2907","357"
"1522","2894","6"
"1523","2894","21"
"1524","2905","78"
"1525","2910","357"
"1526","2912","82"
"1527","2916","357"
"1528","2913","246"
"1529","2914","142"
"1530","2911","316"
"1531","2920","98"
"1532","2915","219"
"1533","2919","357"
"1534","2922","171"
"1535","2923","93"
"1536","2923","115"
"1537","2928","110"
"1538","2929","330"
"1539","2931","357"
"1540","2936","289"
"1541","2939","368"
"1542","2939","316"
"1543","2940","297"
"1544","2941","225"
"1545","2941","346"
"1546","2942","33"
"1547","2943","361"
"1548","2944","10"
"1549","2945","163"
"1550","2948","237"
"1551","2950","330"
"1552","2950","357"
"1553","2951","324"
"1554","2951","353"
"1555","2951","320"
"1556","2953","317"
"1557","2956","5"
"1558","2956","5"
"1559","2956","122"
"1560","2960","374"
"1561","2961","175"
"1562","2961","216"
"1563","2962","7"
"1564","2964","272"
"1565","2964","268"
"1566","2967","82"
"1567","2971","19"
"1568","2975","6"
"1570","2979","336"
"1571","2889","43"
